Beam,Date,Time,RTT(ms),Download(kbit/s),Upload(kbit/s)
1000,2018-11-15,0425,471.011,880.64,624.64
1000,2018-11-15,0430,1137.067,450.56,2529.28
1000,2018-11-15,0435,,,
1000,2018-11-15,0440,,,
1000,2018-11-15,0445,,,
1000,2018-11-15,0450,,,
1000,2018-11-15,0455,1103.435,1259.52,2918.4
1000,2018-11-15,0500,,,
1000,2018-11-15,0505,1116.642,1320.96,2406.4
1000,2018-11-15,0510,461.813,0.0,1587.2
1000,2018-11-15,0515,485.186,1699.84,2406.4
1000,2018-11-15,0520,1278.079,1443.84,378.88
1000,2018-11-15,0525,559.854,0.0,1566.72
1000,2018-11-15,0530,,,
1000,2018-11-15,0535,1106.479,10.24,1576.96
1000,2018-11-15,0540,823.294,1392.64,2396.16
1000,2018-11-15,0545,519.519,655.36,2283.52
1000,2018-11-15,0550,439.536,450.56,2918.4
1000,2018-11-15,0555,,,
1000,2018-11-15,0600,808.99,194.56,2396.16
1000,2018-11-15,0605,808.571,1290.24,2426.88
1000,2018-11-15,0610,1068.665,1423.36,440.32
1000,2018-11-15,0615,1640.169,1064.96,2826.24
1000,2018-11-15,0620,810.189,81.92,890.88
1000,2018-11-15,0625,1153.407,102.4,2334.72
1000,2018-11-15,0630,1451.298,348.16,2754.56
1000,2018-11-15,0635,,,
1000,2018-11-15,0640,816.928,1269.76,2365.44
1000,2018-11-15,0645,440.698,696.32,2969.6
1000,2018-11-15,0650,,,
1000,2018-11-15,0655,495.778,890.88,2406.4
1000,2018-11-15,0700,,,
1000,2018-11-15,0705,595.899,1157.12,2816.0
1000,2018-11-15,0710,502.371,1454.08,2426.88
1000,2018-11-15,0715,800.656,1290.24,1761.28
1000,2018-11-15,0720,792.813,604.16,0.0
1000,2018-11-15,0725,462.932,0.0,1464.32
1000,2018-11-15,0730,,,
1000,2018-11-15,0735,882.511,624.64,1996.8
1000,2018-11-15,0740,801.441,1095.68,2375.68
1000,2018-11-15,0745,666.343,665.6,2365.44
1000,2018-11-15,0750,481.393,399.36,2344.96
1000,2018-11-15,0755,,,
1000,2018-11-15,0800,1030.107,983.04,2611.2
1000,2018-11-15,0805,634.743,389.12,2160.64
1000,2018-11-15,0810,469.677,972.8,122.88
1000,2018-11-15,0815,684.862,348.16,2027.52
1000,2018-11-15,0820,627.798,471.04,2764.8
1000,2018-11-15,0825,432.963,665.6,2652.16
1000,2018-11-15,0830,444.87,1034.24,256.0
1000,2018-11-15,0835,511.166,819.2,2621.44
1000,2018-11-15,0840,429.782,184.32,2754.56
1000,2018-11-15,0845,,,
1000,2018-11-15,0850,485.895,1372.16,2355.2
1000,2018-11-15,0855,,,
1000,2018-11-15,0900,810.417,573.44,2478.08
1000,2018-11-15,0905,,,
1000,2018-11-15,0910,486.021,624.64,2273.28
106,2018-11-15,0915,832.702,604.16,2928.64
106,2018-11-15,0920,439.798,1034.24,2775.04
106,2018-11-15,0925,475.065,1116.16,2283.52
106,2018-11-15,0930,956.907,481.28,2498.56
106,2018-11-15,0935,466.55,276.48,2938.88
106,2018-11-15,0940,464.065,1300.48,2928.64
106,2018-11-15,0945,462.781,727.04,2344.96
106,2018-11-15,0950,,,
106,2018-11-15,0955,540.942,1351.68,2846.72
106,2018-11-15,1000,502.126,430.08,2181.12
106,2018-11-15,1005,1297.297,317.44,2396.16
106,2018-11-15,1010,,,
106,2018-11-15,1015,673.158,501.76,2826.24
106,2018-11-15,1020,464.942,1228.8,2877.44
106,2018-11-15,1025,630.184,0.0,1546.24
106,2018-11-15,1030,465.896,317.44,2877.44
